TR:undefined:CellLine,TR:NaCl,TR:a,DA:ALL,DV:FUS3_T173-S177-T180-Y182,DV:GPA1_T189-S199-S200,DV:HOG1_T174-Y176,DV:HOG1_T174~Y176,DV:PBS2_S248,DV:PBS2_S269,DV:PBS2_S66-S68,DV:PTP2_Y257-S258,DV:SKO1_T215,DV:SLN1_S833,DV:SSK1_S110,DV:SSK1_S193~S195,DV:SSK1_S673,DV:SSK2_S53-S54~S57,DV:STE11_S323-S326,DV:STE20_S169-T170~T172,DV:STE20_S192,DV:STE20_S195-S196,DV:STE20_T203~T207-T217-T218,DV:STE20_T413-S418,DV:STE20_T511,DV:STE20_T546-S547,DV:STE20_T573-T575,DV:STE2_S331,DV:STE50_S202
1,1,1,0,0.510904065956,0.099537727658,0.15205341527,0.3,0.082410509917,0.110337370094,0.0983115412668,0.119358580972,0.114188882745,0.088984872623,0.146376595901,0.0620317898948,0.0921155612562,0.258618422163,0.0887533717339,0.179980707369,0.106016176882,0.103298414989,0.136961017609,0.0723531083759,0.3,0.113453628608,0.0857982136634,0.0657844644308,0.13975066503
1,0,1,0,0.510904065956,0.099537727658,0.15205341527,0.3,0.082410509917,0.110337370094,0.0983115412668,0.119358580972,0.114188882745,0.088984872623,0.146376595901,0.0620317898948,0.0921155612562,0.258618422163,0.0887533717339,0.179980707369,0.106016176882,0.103298414989,0.136961017609,0.0723531083759,0.3,0.113453628608,0.0857982136634,0.0657844644308,0.13975066503
1,1,0,0,0.510904065956,0.099537727658,0.15205341527,0.3,0.082410509917,0.110337370094,0.0983115412668,0.119358580972,0.114188882745,0.088984872623,0.146376595901,0.0620317898948,0.0921155612562,0.258618422163,0.0887533717339,0.179980707369,0.106016176882,0.103298414989,0.136961017609,0.0723531083759,0.3,0.113453628608,0.0857982136634,0.0657844644308,0.13975066503
1,1,1,1,0.3,0.291729408582,0.0994017914261,0.533275844772,0.155141272236,0.234416028275,0.214125550238,0.0949002739382,0.163920211232,0.209278545535,0.3,0.488016610135,0.115797209562,0.482154735547,0.234294963595,0.440297527827,0.3,0.164142987118,0.232379864913,0.3,0.269590935652,0.141683801886,0.156939379977,0.364846743596,0.3
1,0,1,1,0.3,0.162923380013,0.788865908434,0.3,0.0410331297209,0.0976971689684,0.24155327864,0.0762866265527,0.3,0.103926208059,0.3,0.336846225543,0.128984738731,0.25162435368,0.242530854807,0.262586286689,0.3,0.114704655242,0.161419265383,0.3,0.3,0.201499538746,0.372649123239,0.252679717104,0.3
1,1,0,1,0.508232368131,0.054122847472,0.0805223971005,0.0747352441995,0.0813185876497,0.0563814643849,0.114999210144,0.0450966845837,0.0748774173294,0.0167019162848,0.0391198834011,0.152519002437,0.051053983572,0.0686902422451,0.0519744835484,0.123121562666,0.118329997274,0.0796681983599,0.150066740144,0.0103952648268,0.332807817938,0.139951294095,0.258367045335,0.0886759849006,0.057602398726
1,1,1,5,0.334383862309,0.350244589871,0.258541680304,0.20701882067,0.01706009798,0.307775957568,0.0472148824341,0.26139489891,0.203542451289,0.199599534794,0.240932510092,0.3,0.393783462434,0.0816284001053,0.329917346356,0.245230785468,0.258061479961,0.189954484052,0.326264180781,0.266012934709,0.3,0.3,0.275763713363,0.3,0.33625774745
1,0,1,5,0.202714571787,0.266400915608,0.201435497016,0.3,0.272690471134,0.204859344154,0.0597357202795,0.228878870143,0.129907971662,0.167390871517,0.198317567869,0.3,0.195197723797,0.234877586078,0.244328488549,0.169563643483,0.319161893869,0.159407273479,0.244088025302,0.222533987491,0.3,0.207969542375,0.16493128284,0.3,0.209558122278
1,1,0,5,0.3,0.0940957040524,0.0484817781206,0.0517871734032,0.133792242639,0.159250923112,0.3,0.0278620422047,0.0493007503289,0.0238105961199,0.0645503420338,0.122714386144,0.0871530127464,0.0695480185831,0.205217731346,0.160400714293,0.295733857578,0.0918524695808,0.134192782242,0.0620424747827,0.514608318443,0.657298540035,0.128817288974,0.299610874044,0.0627032432807
1,1,1,10,0.0501866470604,0.0611126134826,0.0711988691638,0.3,0.332929414828,0.113985687052,0.3,0.0456224014894,0.0666930297837,0.078361970797,0.136261328369,0.0726798750043,0.311966967782,0.0789344332413,0.0108030626849,0.0702018280068,0.133895241505,0.095332963209,0.0780751203784,0.353978684497,0.3,0.0963162932317,0.124826020807,0.148250424626,0.0913628719066
1,0,1,10,0.204786955178,0.0285301679768,0.290404873366,0.3,0.246509912404,0.178611376859,0.3,0.278826805129,0.338489139413,0.145681416227,0.227257088806,0.161651009129,0.383795262118,0.111624929509,0.278685910841,0.136262027295,0.581832328603,0.231196896286,0.122869654412,0.0592175986899,0.3,0.246021494878,0.397965730612,0.372906210924,0.239472495015
