TR:undefined:CellLine,TR:NaCl,TR:a,DA:ALL,DV:HOG1_T174-Y176,DV:HOG1_T174~Y176,DV:PBS2_S248,DV:PBS2_S269,DV:PTP2_Y257-S258,DV:SLN1_S833,DV:SSK1_S193~S195,DV:SSK1_S673,DV:SSK2_S53-S54~S57,DV:STE11_S323-S326,DV:STE20_S169-T170~T172,DV:STE20_S195-S196,DV:STE20_T203~T207-T217-T218,DV:STE20_T573-T575
1,1,1,0,0.0727432417058,0.0601380724932,0.0175898749144,0.241144215505,0.141885310989,0.646538005219,0.224283721674,0.749968797038,0.019061593596,0.107308773766,0.183126168604,0.0341281765364,0.00280934390632,0.0315374332196
1,0,1,0,0.0727432417058,0.0601380724932,0.0175898749144,0.241144215505,0.141885310989,0.646538005219,0.224283721674,0.749968797038,0.019061593596,0.107308773766,0.183126168604,0.0341281765364,0.00280934390632,0.0315374332196
1,1,0,0,0.0727432417058,0.0601380724932,0.0175898749144,0.241144215505,0.141885310989,0.646538005219,0.224283721674,0.749968797038,0.019061593596,0.107308773766,0.183126168604,0.0341281765364,0.00280934390632,0.0315374332196
1,1,1,1,0.244725679369,0.199274269631,0.192705850492,0.205448904858,0.0,0.947872488805,0.564232461198,0.0195966345894,1.0,0.0423423210265,1.0,0.530378110463,0.344007349342,0.0
1,0,1,1,0.0,0.0,0.193384058401,0.144416193037,0.0605792384388,0.892375284234,0.320913872896,0.0411035859637,0.247988254113,0.017506430044,0.629982219417,0.146405976072,0.197504993227,0.0424888057054
1,1,0,1,0.238020514787,0.877737391306,0.0826215917008,0.157962916256,0.0537844122352,0.452372745684,0.254919128244,1.0,0.368310139406,0.0368131010563,0.327792669208,0.129665163839,0.0567055589214,0.00526562658133
1,1,1,5,0.568769157313,0.987550523218,0.680796822508,0.5603314511,0.167347597883,0.0827550812063,nan,0.165121195635,0.100743795563,0.10102243544,0.0,1.0,0.709454328533,1.0
1,0,1,5,0.318513470551,0.0383137288368,0.720866087775,0.109007881117,0.380918165865,0.272243298168,nan,0.252582179226,0.0,0.267366592221,0.142534180404,0.228540560683,0.59354357883,0.78383137998
1,1,0,5,0.556594441708,1.0,0.79796647071,1.0,0.316397518282,0.846137725475,0.749460812834,0.99113799069,0.508346404445,0.151486062604,0.362129034501,0.709315955586,0.336842226782,0.0657155394092
1,1,1,10,1.0,nan,0.691359975641,0.698207946397,0.838408251616,0.325891133962,1.0,0.0,0.407057867375,0.2293277038,0.324815625461,0.955194145158,1.0,0.156913293313
1,0,1,10,0.285129672518,nan,0.771568104773,0.360564234237,1.0,0.55295291085,0.174419692668,0.105452457418,0.0260745671192,0.55473755188,0.269633019857,0.184735534971,0.343672010555,0.111425627714
1,1,0,10,0.750000387878,0.335972818728,0.474477439354,0.833922251253,0.3216587099,0.65436754642,0.831960094046,0.892683557129,0.372729852363,0.0904830812249,0.184132463066,0.467357167435,0.27517178688,0.143034033587
1,1,1,20,0.489976150998,0.111739130072,1.0,0.102209190678,0.171787995235,0.0,0.354051070355,0.0868600776825,0.182893989045,0.189801932773,0.083933136865,0.235058160263,0.0978196200088,0.770676708164
1,0,1,20,0.13984416335,0.0325577635956,0.480996856162,0.0,0.155730693392,0.369932449029,0.0507902282056,0.0503453208633,0.0179136418653,0.856638981902,0.0887197462521,0.108194300953,0.312813106025,0.598617508175
1,1,0,20,0.249635540209,0.089550651532,0.110717543024,0.465798814562,0.122653660067,0.251248011474,0.743624206294,0.719044846884,0.233913280095,0.0,0.200735499915,0.0849459220822,0.118092637558,0.0585208482344
1,1,1,45,0.231089933574,0.0408998036334,0.36752705506,0.14288632961,0.416415039822,1.0,0.186583121882,0.157754478297,0.0417836818437,1.0,0.17706286078,0.318204700491,0.196741836298,0.465601162474
1,0,1,45,0.0347873257152,0.036720111039,0.388688462232,0.0560880077442,0.105936663791,0.390637791563,0.0,0.186236595648,0.0704801077145,0.938869062939,0.272258260152,0.204550791258,0.24396972659,0.348094454046
1,1,0,45,0.0887119670915,0.057813318069,0.0,0.102092333502,0.130430733465,0.418100867788,0.339256137472,0.524888915913,0.10420753458,0.0312547447203,0.151986059034,0.0,0.0,0.0162488509249
